"cve_sun","nom_ciudad","municipio_cvegeo"
"","","19027"
"","","19028"
"31","Monterrey","19031"
"","","19032"
"","","19033"
"","","19034"
"","","19037"
"","","19038"
"31","Monterrey","19039"
"","","19040"
"","","19041"
"","","19042"
"","","19044"
"31","Monterrey","19045"
"31","Monterrey","19046"
"31","Monterrey","19048"
"31","Monterrey","19049"
"","","19050"
"","","19051"
"","","20002"
"","","20005"
"","","20012"
"","","20051"
"","","20015"
"","","20016"
"","","20018"
"","","20028"
"","","20057"
"","","20031"
"","","20039"
"","","20041"
"","","20042"
"","","20043"
"","","20044"
"","","20327"
"","","20337"
"","","20340"
"","","20351"
"","","20424"
"","","20054"
"","","20055"
"","","20059"
"","","20071"
"","","20073"
"","","20153"
"","","20085"
"","","20093"
"","","20098"
"","","20101"
"","","20161"
"","","20175"
"","","20113"
"33","Tehuantepec","20124"
"","","20141"
"","","20143"
"","","20149"
"","","20150"
"","","20155"
"","","20156"
"","","20159"
"","","20164"
"","","20177"
"","","20184"
"","","20185"
"","","20186"
"","","20364"
"","","20366"
"","","20377"
"","","20378"
"32","Oaxaca","20385"
"","","20386"
"","","21211"
"","","21212"
"","","20328"
"","","20190"
"","","20207"
"","","20202"
"","","20205"
"","","20211"
"","","20212"
"","","20213"
"","","20214"
"","","20217"
"","","20267"
"","","20220"
"","","20277"
"","","20278"
"","","20279"
"","","20232"
"","","20357"
"","","20235"
"","","20236"
"","","20237"
"","","20253"
"","","20254"
"","","20261"
"","","20262"
"","","20266"
"","","20272"
"","","20273"
"","","20275"
"","","20291"
"","","20292"
"","","20306"
"","","20309"
"","","20318"
"","","20401"
"","","20324"
"","","20389"
"","","20441"
"","","20394"
"","","20397"
"","","20406"
"","","20407"
"","","20410"
"","","20413"
"","","20417"
"","","20426"
"","","20427"
"","","20435"
"","","20437"
"","","20467"
"","","20468"
"","","20469"
"","","20470"
"","","20447"
"","","20450"
"","","20457"
"","","20459"
"","","20460"
"","","20477"
"","","20481"
"","","20482"
"","","20484"
"","","20488"
"","","20495"
"","","20498"
"","","20500"
"","","20513"
"","","20548"
"","","21072"
"","","21073"
"34","Puebla-Tlaxcala","21074"
"","","21075"
"","","21076"
"","","21077"
"","","21078"
"","","21079"
"","","21141"
"","","21142"
"34","Puebla-Tlaxcala","21143"
"","","20537"
"","","21176"
"","","21177"
"","","21178"
"","","21179"
"","","21180"
"","","21205"
"","","21206"
"","","21207"
"","","21208"
"","","21209"
"","","21210"
"","","21213"
"37","Cancún","23005"
"39","Ríoverde-Ciudad Fernández","24024"
"","","24025"
"","","24026"
"","","24027"
"38","San Luis Potosí-Soledad de Graciano Sánchez","24028"
"","","24029"
"","","24030"
"","","24031"
"","","24032"
"","","20543"
"","","26002"
"","","26003"
"","","26004"
"","","26008"
"","","26012"
"","","26013"
"","","26017"
"","","26018"
"","","20556"
"","","20566"
"","","20570"
"34","Puebla-Tlaxcala","21001"
"","","21002"
"","","21003"
"","","21004"
"","","21005"
"","","21006"
"","","21007"
"","","21008"
"","","21009"
"","","21010"
"","","21011"
"","","21012"
"","","21013"
"","","21014"
"34","Puebla-Tlaxcala","21015"
"","","21022"
"","","21023"
"","","21024"
"","","21025"
"","","21026"
"","","21027"
"","","21031"
"","","21032"
"","","21033"
"","","21035"
"","","21036"
"","","21037"
"","","21081"
"","","21082"
"","","21083"
"","","21084"
"","","21092"
"","","21093"
"","","21094"
"","","21096"
"34","Puebla-Tlaxcala","21119"
"","","21120"
"","","21121"
"34","Puebla-Tlaxcala","21122"
"","","21123"
"","","21124"
"","","21126"
"","","21127"
"","","21128"
"","","21129"
"","","21130"
"","","21131"
"","","21134"
"","","21135"
"","","21145"
"","","21146"
"","","21147"
"","","21148"
"35","Tehuacán","21149"
"","","21150"
"","","21152"
"","","21153"
"","","21154"
"","","21155"
"35","Tehuacán","21156"
"","","21157"
"","","21158"
"","","21159"
"","","21160"
"","","21161"
"","","21162"
"34","Puebla-Tlaxcala","21163"
"","","21164"
"","","21165"
"","","23007"
"","","23008"
"","","26049"
"","","24008"
"","","24009"
"","","24010"
"39","Ríoverde-Ciudad Fernández","24011"
"","","24012"
"","","24013"
"","","24015"
"","","24016"
"","","24017"
"","","24019"
"","","24046"
"","","24047"
"","","26064"
"","","24051"
"","","24052"
"","","24053"
"","","24054"
"","","24057"
"45","Nuevo Laredo","28027"
"","","25001"
"","","26006"
"43","Reynosa-Río Bravo","28032"
"43","Reynosa-Río Bravo","28033"
"","","28034"
"","","28035"
"","","26022"
"","","26024"
"40","Guaymas","26025"
"","","26026"
"","","26033"
"","","26036"
"","","26040"
"","","26042"
"","","26045"
"","","26051"
"","","26052"
"","","28039"
"","","26058"
"46","Tlaxcala-Apizaco","29018"
"53","Córdoba","30014"
"","","30015"
"","","30016"
"","","30017"
"","","26062"
"","","30045"
"","","30046"
"","","30080"
"50","Orizaba","30081"
"52","Coatzacoalcos","30082"
"","","30083"
"","","30084"
"50","Orizaba","30085"
"","","30086"
"48","Xalapa","30087"
"","","30088"
"51","Minatitlán","30089"
"47","Veracruz","30090"
"","","30091"
"","","30092"
"","","30097"
"","","30171"
"","","30172"
"","","30173"
"","","26069"
"","","26071"
"","","26072"
"","","27001"
"","","27002"
"","","27003"
"41","Villahermosa","27004"
"","","27005"
"","","28005"
"","","28007"
"","","28008"
"","","28010"
"","","28011"
"","","28012"
"","","28013"
